RID,2020_vote_president,2020_quality,2020_issue,2022_vote_emotion,2022_vote_importance,2022_issue
972a8469-1641-9f82-8b9d-2434e465e150,"Democrat, Joe Biden",stands for everyone,handling the epidemic of cova 19,not to good,Very important,to vote in the best one for the job
17fc695a-07a0-ca6e-0822-e8f36c031199,"Democrat, Joe Biden",I DID NOT CARE AT THAT POINT.,ONE THAT DONT LIE EVERY DAY,I CANT THINK OF ANYTHING.,Somewhat important,I DONT KNOW
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,"Democrat, Joe Biden",I love that too many,Okay that's fine I,I just don't know if,Not at all important,I don't think you so cute
24933b83-7577-50a9-a491-f0b2ea1fca65,"Democrat, Joe Biden",My values,Against the other,I haven't,Somewhat important,Abortion and college tuition
5715bd6f-a416-1293-c4c2-e2e3444ea7c8,"Republican, Donald Trump",Leadership,The economy,Passion,Very important,Inflation
f4188f3f-8a14-be62-295b-4715c333e861,"Libertarian, Jo Jorgenson",Did not vote,Did not vote,Not sure,Don't know,I don't know
3da9c2a9-0ed4-2f1a-3d4c-bf374eb93eff,"Democrat, Joe Biden",Someone that represents the office with respect,Being a bully to his own people on live TV,I just don't want anyone in office that is in the office now,Not very important,Fixing the infrastructure
edcd465e-3638-6821-f6e0-7cc06c52c49f,"Libertarian, Jo Jorgenson",Humanity,Anyone who seemed human,Indifferent,Not at all important,Nothing
b09b2a5c-badc-c32a-c159-0f538a0f4efb,"Republican, Donald Trump",That they would stand up to whomever challenged them,Coronavirus,Not excited,Very important,The economy
1064005c-3985-c3cf-3f76-be1d1efa2197,"Republican, Donald Trump",how he could get the job done,senior issues,I have no emothion to vote,Very important,to get the right candidate in office
dd2467ac-778e-edb3-693d-ffbc6c6fa611,"Democrat, Joe Biden",Just looking for that one,I have no issues,I dont have any emotions for 2022,Very important,th
03c72ba8-d605-e770-8a63-f881ffd0f9d5,"Democrat, Joe Biden",I love him,I do not,More interesting,Somewhat important,My baby
37bb3eec-4bf5-0b52-309d-258c27a0c3d7,"Republican, Donald Trump",Whos the best fit,Who would do best as president,Not sure,Somewhat important,Who does a better job
14fcdd54-9e8f-c965-0a2c-827e98326856,"Republican, Donald Trump",Straight forward,Government reform,Happy,Very important,Health care
21813d25-6552-38a6-43ff-50113d1a85dd,"Democrat, Joe Biden",It wasn't Donald Trump,The coronavirus,Awesome,Very important,Nothing
ef8c485b-c07a-30f2-edd4-253b50f0fd0a,"Republican, Donald Trump",how he will handle taxes and thr economic,the economy and jobs,determined,Don't know,nothing
9f044aed-7552-3327-0262-7f7312922f83,"Libertarian, Jo Jorgenson",just watching this and I think,good morning and thanks for the email,good morning I was wondering,Somewhat important,you can't wait for me and
702cdd20-2862-18b8-48f4-ef125e9953d2,"Democrat, Joe Biden",Their mannerisms,LGBTQ rights,I don't more,Somewhat important,I don't know
ce9e1a11-fcbb-4e59-fbdd-cf7c9c96e9ec,"Democrat, Joe Biden",I don't know,I don't know,I don't know,Not at all important,I don't know
35ebd32d-9ad6-20ab-4821-2ddb45b89cd9,"Democrat, Joe Biden",As long as it wasn't Trump,January 6 insurrection,Unsure,Somewhat important,That Trump doesn't get elected for anything
0a368ce7-dc57-0131-f8e1-daa7cbceabde,"Republican, Donald Trump",Honest,Nothing,I'm not going to vote,Not at all important,Nothing
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,"Republican, Donald Trump",Trump was a moron but Biden's is not smart,Green new deal,Motivated,Very important,Natural gas and government spending
d20eac17-4e20-fd1a-5983-36e375d66ed4,"Republican, Donald Trump",Respectable and honest,Health care,Important,Very important,Health care
54c63cd8-8945-6f27-d7fa-2d8dfb2ca025,"Republican, Donald Trump",Experience,Experience,Interested,Very important,Environment
94a1875d-2db6-9edb-42de-ffccf86c2ca2,"Democrat, Joe Biden",For it not to be an old racist person,Not trump,None yet,Somewhat important,I'm honestly not sure
6fa17735-b572-f3d0-0b5c-ea6a41357e8c,"Republican, Donald Trump",Ethics,Economy,Indifferent,Don't know,Economy
9f871ce7-5487-fd4f-ebb7-a385aa0b7b14,"Democrat, Joe Biden",What will happen in the future and for change in community,Immigration,Excited,Very important,Community
5380b904-688c-7015-aab9-7e494f2d4796,"Democrat, Joe Biden",One who seems to care a lot of everyone equally no matter if they are minorities,Racism,Ok about this,Don't know,Not sure I just want to make the right decision
91b0e1d9-9d92-62af-2c8d-0e44e71e43a6,"Democrat, Joe Biden",Downsizing Thanksgiving celebrating,gFrancisco hicks runs expansion,Didn't,Somewhat important,District havens focusing
e2add909-c521-bf2d-dc45-d539c03f3538,"Republican, Donald Trump",I specifically look for a person that uses recreational drugs preferably marijuana but cocaine is acceptable as well,From deciding a candidate I picked the one that I feel use is recreational drugs because I don't trust a person who doesn't use drugs,There's a lot going on his witches a lot going on I'm tired of service,Somewhat important,Good morning I hope you have a great
b227462c-f53d-4330-cdda-24ba2d06e8cf,"Republican, Donald Trump",Hard edge,Economy,Mixed,Very important,Economy
8f15ba58-fce6-8504-87f8-424daae65fc1,"Republican, Donald Trump",His honesty and determination to keep America first,Make America great again,apprehensive,Very important,getting our country back to being free
dc8aee30-be60-33f7-28be-9288e5af6e39,"Democrat, Joe Biden",Ability to bring country together,Ability to handle coronovirus,None at this moment,Very important,Don't know
e49d681d-51d8-7c64-55fa-1ab8458f1f19,"Democrat, Joe Biden",I'm sorry babe I'm just waiting on you I'm,I just got off your phone with my mom,I'm not going to go take your phone,Somewhat important,I'm sorry babe I'm just getting back to
05000bc6-b20d-cb6e-f231-1f1795863a76,"Republican, Donald Trump",hard work,economy,indifferent,Don't know,security
45df16b6-382c-043f-7cfc-9b793875394c,"Republican, Donald Trump",The right choices,Picking the right president,Not trustworthy,Somewhat important,I would vote
fb10987f-20ac-3703-eb67-146a77a6e17c,"Republican, Donald Trump",You gotta love to get it am i right,i just love it,if i could build a time machine i would,Not very important,it just very fun
07f194f9-c115-6d6d-0a4e-5b70a6d964a3,"Democrat, Joe Biden",Not sure if,Not sure,Not sure,Very important,Not sure if you
d6d7b3b8-3309-4d35-3f4d-f561f319c125,"Democrat, Joe Biden",Strong leadership,The economy is falling apart you need to rebuild,Don't know yet,Very important,To make the economy better
e87466d7-ad66-a1bd-9367-6a024fdc6e1b,"Democrat, Joe Biden",anyone would do,nothing,nothing,I am not planning to vote in 2022,unknown
5cb85aed-f5f6-2c97-6efb-63b11b049863,"Democrat, Joe Biden",I would look for which president would help the people more,Not sure,Confused,Somewhat important,nothing
75b17a55-d426-2982-e43e-4288a2b5b498,"Democrat, Joe Biden",Willingness to care about his people,Stimulus,Esthastic!,Very important,Eleminating covid19
a6846099-f729-4951-8591-31d2bbda0242,"Republican, Donald Trump",Checking to see how mindful they were and to see if they were where their feet were,Revamping Social Security and healthcare issues,"Anger.....After the 2020 fiasco, why bother",I am not planning to vote in 2022,If my vote will be counted
eb6c1016-cee6-24d0-9dac-6e8345241ea6,"Democrat, Joe Biden",I am not a citizen,I am democret,"I do not vote, I am not a citizen",Don't know,"yes but, I am not a citizen"
c01f36bf-3e6d-d58b-7367-c28de1b294de,"Republican, Donald Trump",Someone who was actually helping us,Economic system,Concerned that they will cheat again,Somewhat important,Knowing my vote is secure
7cd0129d-2e8d-0e87-5334-20e6d9d80b8d,"Democrat, Joe Biden",Honestly,Health care,None,Very important,Nothing
be2d740a-1e9b-23bc-50c7-c006314d3441,"Democrat, Joe Biden",Integrity,Employment chnages,I feel fustrated,Very important,Covid is the specific issue
98c7472a-864e-9a13-c29c-fc0cfa02eaec,"Democrat, Joe Biden",Fairness,Lgbtq rights,Indifferent,Very important,Immigration
5738811d-70c2-903f-7a8d-03aa782a65e0,"Republican, Donald Trump",Ability to reduce national debt,Financial,Indifferent,Not very important,Education
989bc4da-9b37-a22b-6a8a-616fc3b290d0,"Democrat, Joe Biden",Equal right for all ppl,I wanted equal rights for everyone,Nervous,Somewhat important,Immigration
2812859a-1337-739e-8d4f-5d272c7f0b79,"Democrat, Joe Biden",A candidate who would not try to divide the country but try to unite it,The future of our democracy,Various,Very important,The economy
d0725b5c-a281-4044-6f96-288295d82980,"Democrat, Joe Biden","being well, human",equality,Agitated,Somewhat important,Equality
7ed70ed7-b194-990b-6961-929e546e035a,"Republican, Donald Trump",An Honest one,Unsure,unchanged,I am not planning to vote in 2022,No comment
49bc473f-ed7b-f656-218a-15368c99a894,"Democrat, Joe Biden",Strength,Google chrone,Sadness,Somewhat important,There are more to talk about
74eff545-3e65-2603-78e3-654bfaf14ff0,"Democrat, Joe Biden",Considerate,Stimulus checks,Apathy,Not very important,Jobs
f6febc0e-7ecd-dbaf-26f0-5fcffb16e5db,"Democrat, Joe Biden",Positive impact,For the greater good,My emotions are positive,Somewhat important,Just greater change
f72169bb-8096-2718-2051-acef097a1e10,"Democrat, Joe Biden",Honesty,Diff views on stuff,Eager,Not very important,Global warming
b4323070-a23d-4c2f-c2a7-96891933918c,"Libertarian, Jo Jorgenson",Yes babe babe I don't know,Josh said to call him and his,N I know,Not at all important,I just don't wanna talk about
aee1e86b-9ea5-56aa-61ee-6c5bdeef580f,"Democrat, Joe Biden",Nothing in specific,Unemployment,Probably won't vote,Somewhat important,I am not sure of the issues at hand
a34db7c5-760d-ebbb-3b70-b3a124a35cf2,"Democrat, Joe Biden",For the poor,Racial,Eagerness,Don't know,Racial
4d57d880-d865-d69a-74f3-310340066ff2,"Democrat, Joe Biden",Female vise president,His a Democrat,I don't know,Not very important,Nothing
e726be23-e776-b886-d534-ee1d7f2984f5,"Democrat, Joe Biden",Devotion,Change,Neutral,Don't know,None
3ae909fe-cc82-18da-c696-f5e64944051b,"Republican, Donald Trump","anti - establishment , Washington DC outsider",national debt,despondent,Somewhat important,national debt
6a5e6920-bf5a-e7e6-53a3-dd5a4b8c5bdc,"Republican, Donald Trump",Honesty,Immagration,No point,Not at all important,Nothing
8eac0a33-cdf9-74a7-d882-b5c1f79efd70,"Republican, Donald Trump",Honesty and integrity,Building a wall,Excited,Very important,Climate control
a2a9d4d8-102e-fde5-a5cc-8bf738ab854c,"Republican, Donald Trump",What he thought of,I don't know,I don't know if I want to vote,Very important,I don't know
e2aa7a5d-278e-d00d-ba02-66efbe055787,"Democrat, Joe Biden",Honesty,Healthcare,Fright,Very important,Healthcare
8a4b8f7c-2147-2a15-fcce-96f6250a4578,"Republican, Donald Trump",Someone who is strong,Jand the economy,Excited,Not very important,The economy
e63658c9-12d0-498d-718d-4d05e8e22743,"Democrat, Joe Biden",Civil rights change,Better social change,I don't think we should vote mid term,Not very important,Nothing
9fd34579-4667-72ce-204e-178c10d08d11,"Democrat, Joe Biden",good sense,global warming,determined,Very important,global warming
692ac139-1f4a-8ca1-ab85-fd595463adc7,"Democrat, Joe Biden",Everything,Everything,Everything,Very important,Everything
279c658a-3676-0ce5-81e5-c9f693f277cc,"Democrat, Joe Biden",His views on or her views hold of her on everything so I can put it together,When he decided to have a woman for his vice president,I don't have any emotions about a 2022 midterm until I find out who in the heck is running for office and I hope it's Charlie Crist,Very important,Doesn't matter who I vote for it's private
a847bce7-90fa-6b57-24ac-2130deaf528d,"Democrat, Joe Biden",Who slipped up less,Change,I don't really have any,Somewhat important,Racial change and tax equality
27d415b6-0d77-c5a0-e222-b6a615bfbe97,"Democrat, Joe Biden",Someone who cared about the people and wanted to help them and support them,Health care,I would vote but it doesn't seem that important,Not very important,Health care and benefits for low income families
0cbd3c03-9e2a-a4ac-c122-b5b3284c03d2,"Republican, Donald Trump",the things they are expressing need to make sense,they havve to look a certaain waay,i feel neutral,Not very important,"the govverm,ent political"
372f871a-45ee-432d-6a07-f2137129cec7,"Democrat, Joe Biden",I didn't vote,I didn't vote,I don't know,Somewhat important,The people
1eb74b56-53ff-d3a2-4a19-35014169b9fc,"Democrat, Joe Biden",How they handled themselves and their values,The pandemic,Excitment,Very important,Jobs
5aaab32f-ce63-22b6-ab05-347fd556b37d,"Democrat, Joe Biden",Honesty,Who was better for the country,Undecided,Don't know,I don't know
5024bdc6-dcb3-3df3-13ee-cdc6ebd14d2c,"Republican, Donald Trump",Woman's rights,Border partrol,Speechless,Somewhat important,Envioirment
4a1dab32-6aed-fdc7-a3e0-5309b5a1b949,"Republican, Donald Trump",Knowledge,Gets things done,Mixed feelings,Somewhat important,Rising costs
f296d9f0-cd23-72c2-2bff-e17b532401fc,"Democrat, Joe Biden",Someone who was looking to actually change the way america acts,Equal rights would not have been possible under trump,No emotion I'm not going to vote,Not at all important,Nothing I'm not going to vote
1422373f-8622-68d1-6683-e10796c044d0,"Democrat, Joe Biden",Not trump,Not trump,Nervous,Very important,Healthcare and women's rights
c257cf73-c29d-782b-2722-796e9a36d1ec,"Democrat, Joe Biden",decency,decency in poliics,the elections are far away so no feeling sright now,Very important,not sure at this time.
9458054e-c287-4f06-9050-f7efc1235c91,"Democrat, Joe Biden",Making sure that it wasn't Trump,Making sure that it wasn't Trump,Excitement,Very important,More stimulus f****** money
a9e27ba9-952e-6abb-14dd-5061555736f8,"Republican, Donald Trump",America first,America first,Questionable,Don't know,Crooked election
17ec889c-86c1-b6cb-e996-30f7af77520e,"Democrat, Joe Biden",Miami because i had lots of fun there and got lots of candy and met sum people went shopping OMG there stores are the best i had so much fun there i cant wait to go back! im so excited we usually go once a year in a while Or twice a week but i only go wit my sis and my bro bro and my homegirl Keisha we be havin so much fun there but now that covid entered our lives we stuck at home for now so its kinda lame but well be ok i really miss being there like i could never ever for get that place like crazy OMGGGG i will be so excited when all this COVID-19 shit ova wit like damn give me a break,Miami because i had lots of fun there and got lots of candy and met sum people went shopping OMG there stores are the best i had so much fun there i cant wait to go back! im so excited we usually go once a year in a while Or twice a week but i only go wit my sis and my bro bro and my homegirl Keisha we be havin so much fun there but now that covid entered our lives we stuck at home for now so its kinda lame but well be ok i really miss being there like i could never ever for get that place like crazy OMGGGG i will be so excited when all this COVID-19 shit ova wit like damn give me a break,Miami because i had lots of fun there and got lots of candy and met sum people went shopping OMG there stores are the best i had so much fun there i cant wait to go back! im so excited we usually go once a year in a while Or twice a week but i only go wit my sis and my bro bro and my homegirl Keisha we be havin so much fun there but now that covid entered our lives we stuck at home for now so its kinda lame but well be ok i really miss being there like i could never ever for get that place like crazy OMGGGG i will be so excited when all this COVID-19 shit ova wit like damn give me a break,Somewhat important,Miami because i had lots of fun there and got lots of candy and met sum people went shopping OMG there stores are the best i had so much fun there i cant wait to go back! im so excited we usually go once a year in a while Or twice a week but i only go wit my sis and my bro bro and my homegirl Keisha we be havin so much fun there but now that covid entered our lives we stuck at home for now so its kinda lame but well be ok i really miss being there like i could never ever for get that place like crazy OMGGGG i will be so excited when all this COVID-19 shit ova wit like damn give me a break
31274148-7c7c-404e-c422-d03ef29a6339,"Democrat, Joe Biden",One best able to beat Trump.,Trump's misbehavior.,Will vote for sure.,Very important,Replace extremists with cooperaters.
27aa7cbc-2337-7bbc-fffe-77c839feb99c,"Democrat, Joe Biden",One that was stable and had the interests of all us citizens in kibd,Which would prevent America from resembling a tyrannical government,Hopeful,Very important,LGBTQ+ rights and supporting Palestinians
c9c23e69-d82c-7565-4bb9-07ec13c11754,"Democrat, Joe Biden",Responsibility,Covid 19,Hopeful,Somewhat important,Covid precautions
6b2d5b09-8707-9ad4-80be-7e3561c2645a,"Republican, Donald Trump",No one quality,Immigration,Uncertain,Don't know,Immigration
ef2ddcc4-8df6-61da-5f07-c1a5dfc620ce,"Republican, Donald Trump","Whether he was dedicated to the working men and women, or whether he catered to people looking for handouts.",Economy,Need to reestablish the balance of power between the parties.,Very important,Economy and immigration
e916da57-f248-23ab-177a-8a5f6ffe33b3,"Republican, Donald Trump",leadership,the economy,anxious,Very important,voting rights
0b251279-785a-c5d0-df92-a62163f4c69d,"Republican, Donald Trump",Border safety,Help for native Americans,Concerned,Not very important,Child safety
5a304528-0b59-9562-2227-219f551ff086,"Republican, Donald Trump",Conservative values,Freedom of speach,We need to take our country back,Somewhat important,Protection of conservative vaiues
6e3c4532-1434-8f62-6cac-028cba220065,"Democrat, Joe Biden",UNITED,DIVISION CREATE IN THE COUNTRY,NO MUCH,Not very important,THE ECONOMY
1a43db54-523a-e993-4b34-46bc8ba435cc,"Democrat, Joe Biden",Not homophobic,Abortion,Average,Somewhat important,Pro public healthcare
4baf0f5e-a932-0094-53f2-8f11147f6570,"Democrat, Joe Biden",Honesty,Economy,Excited,Very important,Everything
b7b8c1a5-9a45-693d-7227-890e4e76833a,"Democrat, Joe Biden",Didn't vite,None I didn't vote,I don't have any I will not be voting,Somewhat important,Nothing I don't vite
13aec376-c359-810a-71a6-014c5f3c44dc,"Democrat, Joe Biden",very honest,covid 19,scared,Very important,healthcare
b43bd27f-42a2-59a6-c664-12854303cbc1,"Democrat, Joe Biden",Same thing,The president I was aware that they were going to be fair to everyone and support every race and gender/culture,Nervous,Very important,Racism
7e7838c9-ca55-e38b-3c9a-be10238d6f44,"Democrat, Joe Biden",someone who might have a heart,income inequality,digust,I am not planning to vote in 2022,income inequality
84a2576c-1fc9-05f8-d4d6-07350e2f8958,"Democrat, Joe Biden",Honesty,Black Lives Matter,Happy,Very important,Honesty
92779574-c457-6cc3-35f7-89bca6b07458,"Republican, Donald Trump",policies.  would say not a liar but...,America first.  We are the wealthiest country on Earth but we aid outside more than inside.,freedom,Very important,dividing the government so bills cannot be passed along party lines.  Rather see a discussion and input from both sides.
8baaf744-a08d-d21b-e395-4cb17f7f6c0a,"Republican, Donald Trump","refusing to be ""woke"" in today's culture",enhancing southern border security,anticipation,Very important,to establish Republican majority in Congress
ef0a573d-53d2-d56d-d040-158728e213bc,"Democrat, Joe Biden",COVID 19 vaccine,No sure,Maybe yes maybe not I am look at them,Somewhat important,Healthy and economic
673ba8bd-c38c-1dec-5da3-9a73ba3df7ff,"Democrat, Joe Biden",Integrity,Pandemic response,Hopeful,Very important,Economy and jobs
62e7c1a6-12d2-fa06-49e1-cd138da00495,"Republican, Donald Trump",Cohérent!,Immigration issues / my parents were immigrants and followed the correct path,Concerned,Very important,Environmental issues
09f64405-0b99-0034-0a4e-255280051b10,"Democrat, Joe Biden",Trustworthiness.,Coronavirus.,I do not vote for Congress.,I am not planning to vote in 2022,I simply don't vote.
cdd0b4d4-5542-27de-b6ad-f48b2314d0c8,"Democrat, Joe Biden",Honesty,Abortion,Satisfied,Very important,Abortion
901bcdef-b56f-f8ce-7d66-971e88476c56,"Republican, Donald Trump",His morals,Where are you Konomi is run,Excitement,Somewhat important,Idk
4ec3f970-956d-80e4-6aa2-6216fada98f5,"Republican, Donald Trump",Who felt the same way I did,He's beliefs,Unsure the world is crazy right now,Very important,Who has the people best interest
86341718-2ba6-adb3-7afe-b1149561c813,"Democrat, Joe Biden",Nothing particularly,Nothing particularly,Nothing particularly,Very important,Nothing particularly
9c89d374-c664-95a7-8077-3e33690e7e62,"Democrat, Joe Biden",Someone who stands up for us.,That they stand for what you believe in.,Hopeful,Somewhat important,Nothing.
d92f3c1e-df70-fb2a-78bb-22a5eba742d2,"Democrat, Joe Biden",How they would run the country,Economy,Excited,Very important,Economy
f5141058-3138-3975-7bf3-3a349c2dfa97,"Democrat, Joe Biden",Not Trump,Getting rid of Trump,Anxious,Very important,No one issue
8f7c1d59-594b-2a3a-7ad4-65a15129950d,"Republican, Donald Trump",Someone with BALLS to get things done.,Economic reasons,Can't wait,Very important,Economic issues
3d4196fe-963a-8617-bdab-07e79d9d028e,"Democrat, Joe Biden",Intelligency,Funancial inmigrants,Nithin,Not at all important,Nothing
0f25477d-a559-90e7-4910-fade52380bf2,"Democrat, Joe Biden","Unity, smart, educated",SOmebody that could bring America back together,"Freedom, happiness, togetherness",Very important,Nothing
